Delta ID,Latitude,Longitude,Tidal range (m),Permafrost classification with ice content,Distance to nearest community (m),Canadian geographic name,Language spoken,Name of region in original language,Community type,Province
NWA1_G194,76.460836,-115.276742,0.35,Continuous permafrost with medium ground ice content (10% to 20%),582270.1385,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G195,76.473231,-115.150993,0.35,Continuous permafrost with medium ground ice content (10% to 20%),585329.3132,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G196,76.482296,-115.068279,0.35,Continuous permafrost with medium ground ice content (10% to 20%),587427.5367,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G197,76.515179,-114.702719,0.29,Continuous permafrost with medium ground ice content (10% to 20%),584456.6889,Resolute,Undetermined, ,Hamlet,Nunavut
NWA1_G198,76.493782,-114.691209,0.29,Continuous permafrost with medium ground ice content (10% to 20%),583735.1823,Resolute,Undetermined, ,Hamlet,Nunavut
NWA1_G199,76.510562,-114.433609,0.29,Continuous permafrost with medium ground ice content (10% to 20%),577471.8766,Resolute,Undetermined, ,Hamlet,Nunavut
NWA1_G200,76.363294,-114.08157,0.29,Continuous permafrost with medium ground ice content (10% to 20%),565493.2669,Resolute,Undetermined, ,Hamlet,Nunavut
NWA1_G201,76.35433,-114.126225,0.29,Continuous permafrost with medium ground ice content (10% to 20%),566487.3872,Resolute,Undetermined, ,Hamlet,Nunavut
NWA1_G202,76.33979,-114.153067,0.29,Continuous permafrost with medium ground ice content (10% to 20%),566921.7702,Resolute,Undetermined, ,Hamlet,Nunavut
NWA1_G203,76.3247,-114.14273,0.29,Continuous permafrost with medium ground ice content (10% to 20%),566383.8805,Resolute,Undetermined, ,Hamlet,Nunavut
NWA1_G204,76.267642,-114.00334,0.29,Continuous permafrost with medium ground ice content (10% to 20%),561757.4812,Resolute,Undetermined, ,Hamlet,Nunavut
NWA1_G205,76.239405,-114.016044,0.29,Continuous permafrost with medium ground ice content (10% to 20%),561625.6951,Resolute,Undetermined, ,Hamlet,Nunavut
NWA1_G206,76.228226,-114.040532,0.29,Continuous permafrost with medium ground ice content (10% to 20%),562090.853,Resolute,Undetermined, ,Hamlet,Nunavut
NWA1_G207,76.20419,-113.867268,0.29,Continuous permafrost with medium ground ice content (10% to 20%),557147.2514,Resolute,Undetermined, ,Hamlet,Nunavut
NWA1_G208,76.237654,-113.507673,0.29,Continuous permafrost with medium ground ice content (10% to 20%),548245.558,Resolute,Undetermined, ,Hamlet,Nunavut
